"","vector_index","month_detected_july","st_grp","year_index","month_f","human_equine","indexP_lag1","pred","pred_lwr","pred_upr","year_grp"
"1",0.021,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00314688178620016,0.00061510036833252,0.0160995920115673,"2019"
"2",0.0253,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00338415047663106,0.000671344339761756,0.0170590169160381,"2019"
"3",0.0296,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0036393087591355,0.000732376959105243,0.018084359535971,"2019"
"4",0.0339,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00391370547373101,0.000798561435789575,0.0191808542820094,"2019"
"5",0.0382,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00420879116031654,0.00087028327545663,0.0203542036607154,"2019"
"6",0.0425,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00452612572664331,0.000947951087323677,0.0216106235514951,"2019"
"7",0.0468,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00486738669443549,0.00103199736976176,0.0229568930380481,"2019"
"8",0.0511,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00523437806725219,0.00112287927069296,0.0244004092568405,"2019"
"9",0.0554,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00562903986696879,0.00122107932000306,0.0259492477719176,"2019"
"10",0.0597,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00605345838929012,0.00132710613191646,0.0276122290369869,"2019"
"11",0.064,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00650987723250924,0.00144149507618413,0.0293989915626524,"2019"
"12",0.0683,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00700070915781281,0.00156480891798484,0.0313200724695506,"2019"
"13",0.0726,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00752854884383022,0.00169763842762237,0.0333869961775778,"2019"
"14",0.0769,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00809618660285058,0.00184060296239628,0.0356123720581433,"2019"
"15",0.0812,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00870662313121541,0.00199435102440443,0.0380100019612409,"2019"
"16",0.0855,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.00936308537186197,0.00215956079946974,0.0405949986230077,"2019"
"17",0.0898,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0100690435728711,0.0023369406838327,0.0433839160633294,"2019"
"18",0.0941,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0108282296321961,0.00252722980667323,0.0463948931980644,"2019"
"19",0.0984,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0116446568255475,0.00273119855787596,0.0496478120178214,"2019"
"20",0.1027,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0125226410217226,0.00294964913168627,0.0531644718262742,"2019"
"21",0.107,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0134668234975276,0.00318341609797693,0.0569687811872328,"2019"
"22",0.1113,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0144821954729016,0.00343336701371734,0.0610869694027411,"2019"
"23",0.1156,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.015574124495939,0.00370040308787511,0.0655478195361381,"2019"
"24",0.1199,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0167483828172918,0.00398545991335808,0.0703829252062914,"2019"
"25",0.1242,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0180111779039457,0.00428950827970733,0.0756269736142609,"2019"
"26",0.1285,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0193691852536743,0.00461355508007473,0.0813180575238904,"2019"
"27",0.1328,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0208295836836395,0.00495864432556805,0.087498019205892,"2019"
"28",0.1371,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0224000932796817,0.00532585827934149,0.0942128296738085,"2019"
"29",0.1414,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.024089016206913,0.00571631872187864,0.101513006893047,"2019"
"30",0.1457,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0259052805973477,0.00613118835779653,0.109454077034505,"2019"
"31",0.15,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0278584877465744,0.00657167237323899,0.118097083276159,"2019"
"32",0.1543,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0299589628689642,0.00703902015157594,0.127509147133643,"2019"
"33",0.1586,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.032217809679721,0.00753452715373402,0.137764087829229,"2019"
"34",0.1629,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.034646969092312,0.00805953696810637,0.148943105793045,"2019"
"35",0.1672,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0372592823415678,0.00861544353367431,0.161135537036781,"2019"
"36",0.1715,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0400685588661409,0.00920369353876484,0.174439685855171,"2019"
"37",0.1758,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0430896493091671,0.00982578899680394,0.18896374410146,"2019"
"38",0.1801,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0463385240230336,0.010483289999534,0.204826806158058,"2019"
"39",0.1844,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0498323574932517,0.0111778176474668,0.22215998969155,"2019"
"40",0.1887,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0535896191277235,0.0119110571568505,0.241107673352298,"2019"
"41",0.193,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0576301708913405,0.0126847611421483,0.261828863763896,"2019"
"42",0.1973,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0619753723020386,0.0135007530729421,0.284498705459196,"2019"
"43",0.2016,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0666481933433488,0.0143609309042927,0.309310148870964,"2019"
"44",0.2059,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0716733358903322,0.0152672708798731,0.336475793091521,"2019"
"45",0.2102,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0770773642907912,0.0162218315076391,0.366229921893693,"2019"
"46",0.2145,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.082888845792047,0.0172267577083782,0.398830753473491,"2019"
"47",0.2188,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0891385015556197,0.0182842851381649,0.434562926553588,"2019"
"48",0.2231,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.0958593690581172,0.0193967446865249,0.473740247898607,"2019"
"49",0.2274,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.103086976736833,0.0205665671529455,0.516708728963472,"2019"
"50",0.2317,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.110859531803277,0.0217962881052461,0.563849942352509,"2019"
"51",0.236,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.119218122217474,0.0230885529242271,0.615584732040386,"2019"
"52",0.2403,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.128206933890736,0.0244461220399214,0.67237731493041,"2019"
"53",0.2446,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.137873484265082,0.0258718763656794,0.734739815339038,"2019"
"54",0.2489,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.148268873504098,0.0273688229372045,0.80323727843955,"2019"
"55",0.2532,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.159448054623087,0.0289401007645276,0.878493213618983,"2019"
"56",0.2575,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.171470123986505,0.0305889869057429,0.961195724152187,"2019"
"57",0.2618,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.184398633708323,0.0323189027721437,1.052104285632,"2019"
"58",0.2661,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.198301927606773,0.0341334206751724,1.15205724227823,"2019"
"59",0.2704,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.213253502489411,0.0360362706263539,1.26198009765037,"2019"
"60",0.2747,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.229332396678367,0.0380313474021043,1.38289468448687,"2019"
"61",0.279,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.246623607829631,0.0401227178860103,1.51592930747373,"2019"
"62",0.2833,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.265218542255095,0.0423146287018547,1.6623299628016,"2019"
"63",0.2876,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.285215498122587,0.0446115141513345,1.82347274950948,"2019"
"64",0.2919,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.306720185088237,0.0470180044710726,2.00087759995094,"2019"
"65",0.2962,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.329846283108107,0.0495389344241798,2.19622347038472,"2019"
"66",0.3005,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.354716043383106,0.0521793522422745,2.41136514782999,"2019"
"67",0.3048,0,"CT",17,"May-Jul",NA,-0.76845960379585,0.381460934613979,0.0549445289345261,2.64835184609496,"2019"
