node_number,node_height,tips
110,7.1947195612060915,KX000093_2014|2014-07-29;KX000133_2014|2014-08-05;KX000167_2013|2013-08-22;KX000060_2014|2014-09-03;KX000178_2013|2013-09-10;KX000194_2013|2013-09-10;KX000118_2013|2013-10-03;KX000142_2013|2013-10-01;KX000116_2014|2014-09-03;KX000109_2014|2014-07-30;KX000143_2014|2014-09-08;KX000223_2014|2014-07-31;KX000083_2013|2013-08-13
123,7.822452377253118,KX000121_2014|2014-09-08;KX000123_2014|2014-09-03
RAB16ANI06320-01-00_S15_2016|2016-10-21,2.988502133392376,RAB16ANI06320-01-00_S15_2016|2016-10-21
KX000155_2003|2003-10-22,15.986301369855287,KX000155_2003|2003-10-22
KX000082_2009|2009-09-23,10.065753424656707,KX000082_2009|2009-09-23
138,4.85507650610076,RAB15ANI05176_2015|2015-09-24;RAB15ANI04939_2015|2015-09-02
137,9.191365987802191,KX000212_2014|2014-07-29;KX000126_2014|2014-09-06;KX000149_2014|2014-08-07
143,12.355925648195617,KX029294_2009|2009-09-22;KX029268_2009|2009-08-19;KX029290_2010|2010-08-20
170,8.02015085915511,KX029283_2012|2012-09-05;KX000206_2012|2012-08-24;KX029256_2013|2013-09-03;KX029235_2013|2013-08-26
181,7.380915100414425,KX029239_2013|2013-08-21;KX029242_2013|2013-08-19
183,7.088438452937249,KX000148_2013|2013-07-29;KX000113_2013|2013-08-05;KX000108_2013|2013-09-07;KX000073_2013|2013-08-23;KX000103_2013|2013-08-14;KX000084_2013|2013-08-05;KX000139_2013|2013-08-25
193,15.422055332772754,KJ469556_2005|2005;KJ469631_2005|2005;KX029309_2004|2004-10-01;KP282670_2005|2005;KX029289_2006|2006-08-09;KX029252_2007|2007-07-04;KX029266_2006|2006-09-13;KX029303_2005|2005-08-24;KX029297_2006|2006-09-20
205,16.83409269058221,KJ469642_2003|2003;KJ469582_2003|2003
KX000122_2003|2003-10-02,16.04109589041565,KX000122_2003|2003-10-02
